	variant	difference
6	BQ.1	1.0211466934522755
12	BA.2.3.20	21.539362746530863
13	BA.5.1.27	-26.829426608167687
14	BM.1.1	-0.12243644543317389
15	BF.7	-25.061640207006523
17	BF.11	-24.565989517196698
18	BA.5.2.18	-24.56452564569645
19	BE.1.2	-26.197730781321923
20	BA.5.1.18	-22.434754071894346
21	BA.5.6.1	-22.249710921564557
22	BE.4	-22.430344693648994
23	BA.4.6	-33.448185832088264
44	BA.5	10.46494233541244
80	BA.4	4.884575038264282
87	BA.2.76	4.608788582396876
88	B.1.1.529	-1.5950956
89	other	-1.2550067
90	BA.2.38	-1.757758542786436
91	BA.2.13	-4.350163385342368
93	BA.2.56	-4.4257009853423686
98	BA.2.12	-6.402585661746909
146	BA.1	-33.4360461205907
150	BA.5.10.1	64.9095669974652
151	BA.5.6.2	89.32122994254541
152	BA.5.1.21	78.76465887554414
153	BE.1.1	90.06733305497704
155	BA.5.2.6	104.22901559687006
156	BA.5.2.19	113.30663289991129
157	BA.5.2.2	113.50144589991129
158	BA.5.2.20	113.35972209991128
159	BA.5.2.21	113.37933769991129
160	BA.5.2.22	113.29228749991128
161	BA.5.2.28	113.34584559991129
162	BA.5.2.34	112.90003889991128
163	BA.5.2.7	113.24905959991129
164	BA.5.2.8	113.38070409991128
165	BE.1.1.1	-22.59613877914429
166	BA.5.2.24	116.06353237701748
167	BA.5.2.26	116.21320687701747
168	BA.5.2.27	116.34151257701747
169	BA.5.2.3	116.34112217701747
170	BA.5.2.31	116.28684957701748
171	BA.5.2.33	116.31689657701747
172	BA.5.2.16	116.27116600162988
175	BA.2.75	-146.18038833230264
